# Party Quiz starter pack. Tab-separated: id, category, difficulty, question, four answers, correct index (0-3), why.
# Reviewed by hand; grow toward 1 000 with the Nexus pipeline. Keep questions under 120 characters and answers under 32.
science-001	Science	easy	What gas do plants take in from the air to make their food?	Oxygen	Carbon dioxide	Nitrogen	Helium	1	Photosynthesis turns CO2 and water into sugar.
science-002	Science	easy	How many planets orbit the Sun?	7	9	8	10	2	Eight since Pluto was reclassified in 2006.
science-003	Science	medium	Which planet has the shortest day, spinning once in under ten hours?	Mars	Jupiter	Venus	Saturn	1	Jupiter spins once every 9 h 56 min.
science-004	Science	medium	What is the chemical symbol for gold?	Gd	Go	Ag	Au	3	From the Latin aurum.
science-005	Science	easy	What is the boiling point of water at sea level in Celsius?	90	100	110	120	1	
science-006	Science	hard	Which particle carries the electromagnetic force?	Gluon	Photon	Neutrino	Boson W	1	Photons are the quanta of light.
science-007	Science	medium	What is the hardest natural substance?	Quartz	Diamond	Steel	Titanium	1	Diamond scores 10 on the Mohs scale.
science-008	Science	medium	Roughly how long does sunlight take to reach Earth?	8 seconds	8 minutes	8 hours	8 days	1	About 8 minutes and 20 seconds.
science-009	Science	hard	What is the most abundant element in the universe?	Oxygen	Carbon	Hydrogen	Helium	2	About three quarters of all normal matter by mass.
science-010	Science	easy	Which organ pumps blood around the human body?	Liver	Lungs	Heart	Kidney	2	
science-011	Science	medium	How many bones does an adult human have?	106	186	206	306	2	
science-012	Science	hard	What is absolute zero in Celsius, to the nearest degree?	-100	-273	-373	-459	1	-273.15 C, or 0 kelvin.
science-013	Science	medium	Which blood type is the universal donor for red cells?	AB positive	O negative	A positive	B negative	1	
science-014	Science	easy	What force pulls objects toward the centre of the Earth?	Magnetism	Friction	Gravity	Inertia	2	
science-015	Science	hard	What is the speed of light in a vacuum, in km per second?	150,000	300,000	1,000,000	30,000	1	299,792 km/s.
science-016	Science	medium	Which vitamin does the skin make from sunlight?	Vitamin A	Vitamin C	Vitamin D	Vitamin K	2	
geography-001	Geography	easy	What is the capital of Australia?	Sydney	Melbourne	Canberra	Perth	2	Canberra was purpose-built as a compromise capital.
geography-002	Geography	easy	Which is the largest ocean?	Atlantic	Indian	Arctic	Pacific	3	
geography-003	Geography	medium	Which river is the longest in Africa?	Congo	Nile	Niger	Zambezi	1	
geography-004	Geography	medium	How many countries border Germany?	5	7	9	11	2	Nine: DK, PL, CZ, AT, CH, FR, LU, BE, NL.
geography-005	Geography	easy	Mount Everest sits on the border of Nepal and which country?	India	Bhutan	China	Pakistan	2	
geography-006	Geography	hard	What is the capital of Canada?	Toronto	Vancouver	Montreal	Ottawa	3	
geography-007	Geography	medium	Which country has the most time zones, overseas territories included?	Russia	USA	France	China	2	France spans 12 time zones thanks to its territories.
geography-008	Geography	easy	Which continent is the Sahara Desert on?	Asia	Africa	Australia	South America	1	
geography-009	Geography	hard	Which is the smallest country in the world by area?	Monaco	Vatican City	San Marino	Liechtenstein	1	About 0.44 square kilometres.
geography-010	Geography	medium	What is the capital of Czechia?	Brno	Bratislava	Prague	Ostrava	2	
geography-011	Geography	medium	Which country is both in Europe and Asia, with Istanbul on the divide?	Greece	Turkey	Russia	Georgia	1	
geography-012	Geography	hard	Lake Baikal, the deepest lake on Earth, is in which country?	Mongolia	Kazakhstan	Russia	China	2	Over 1,600 metres deep.
geography-013	Geography	easy	What is the largest country by area?	Canada	China	USA	Russia	3	
geography-014	Geography	medium	Which city is known as the City of Canals?	Amsterdam	Venice	Bruges	Stockholm	1	
geography-015	Geography	hard	Which two countries share the longest international border?	USA and Mexico	Russia and China	USA and Canada	Argentina and Chile	2	About 8,900 km.
geography-016	Geography	easy	Which country is shaped like a boot?	Spain	Italy	Portugal	Greece	1	
history-001	History	easy	In which year did the first person walk on the Moon?	1965	1969	1972	1975	1	Apollo 11, 20 July 1969.
history-002	History	medium	Who was the first President of the United States?	Thomas Jefferson	John Adams	George Washington	Benjamin Franklin	2	
history-003	History	medium	The Berlin Wall fell in which year?	1985	1987	1989	1991	2	
